SensoDuino log file created:
DATE: 2014/9/28
TIME:  0:13:39
----------------------------
RotVec, 153, 0.38930306,-0.07320175,-0.11397579, 3
AccLin, 154, -0.30102402,0.11316467,-0.357307, 3
Gravity, 155, 0.4378395,7.122638,6.7312026, 3
Audio, 156, 992,,,99
Pres, 157, 1012.44995,,,3
Gyro, 158, 0.23128888, 0.26433045,-0.13536341, 3
Accelerometer, 159, -0.82717985,7.5332346,7.242539, 3
Magnetometer, 160, -2.199997,-16.40001,-41.699997, 0
Orient, 161, 13.832426,-44.335815,-2.5061855, 0
RotVec, 162, 0.37692565,-0.02532044,-0.103298515, 3
AccLin, 163, -0.520318,0.6774911,0.23261628, 3
Gravity, 164, -0.30686188,6.8557434,7.009923, 3
Time, 165, 0,13,44, 3
Audio, 166, 610,,,99
Pres, 167, 1012.43,,,3
GPS1, 168, 40.73982663452625, -73.55704578571022, 4.5, 15.0
GPS2, 168, 261.0, 0.0, 1414469624000, 15.0
Gyro, 169, 0.25260615, 0.18439168,-0.10232185, 3
Accelerometer, 170, -1.0629396,7.5510473,6.736292, 3
Magnetometer, 171, 1.199997,-18.800003,-41.199997, 0
Orient, 172, 10.519858,-47.275135,-7.3175344, 0
RotVec, 173, 0.40499192,0.0061109066,-0.10275751, 3
AccLin, 174, -0.13741425,0.34443375,0.14519806, 3
Gravity, 175, -0.92552537,7.2066135,6.5910935, 3
Audio, 176, 473,,,99
Pres, 177, 1012.39996,,,3
Gyro, 178, -0.0031979238, -0.08633409,0.03943609, 3
Accelerometer, 179, -0.6962022,7.254065,6.26118, 3
Magnetometer, 180, -0.19999695,-18.700012,-41.800003, 0
Orient, 181, 10.497561,-47.317883,-5.6980567, 0
RotVec, 182, 0.40374926,-0.003355667,-0.098395854, 3
AccLin, 183, 0.02350113,0.042511597,-0.3502716, 3
Gravity, 184, -0.7197034,7.2115536,6.6114516, 3
Audio, 185, 308,,,99
Pres, 186, 1012.47,,,3
Gyro, 187, -0.092729405, -0.046897735,0.03410684, 3
Accelerometer, 188, -0.4899312,7.0265384,6.685248, 3
Magnetometer, 189, -1.0,-18.5,-41.100006, 0
Orient, 190, 10.790638,-46.793438,-4.3869042, 0
RotVec, 191, 0.39835668,-0.011848107,-0.09730962, 3
AccLin, 192, 0.05867798,-0.123792574,-0.008532257, 3
Gravity, 193, -0.54860914,7.150331,6.6937804, 3
Audio, 194, 495,,,99
